DATE,Peru
1985,616.39197
1986,643.6307
1987,680.48676
1988,643.6566
1989,637.4989
1990,627.2152
1991,644.1087
1992,571.8558
1993,632.448
1994,664.3637
1995,693.2586
1996,696.45233
1997,710.3464
1998,721.98413
1999,727.45886
2000,748.91925
2001,770.2689
2002,805.84247
2003,831.38495
2004,870.6676
2005,907.43536
2006,965.9486
2007,1049.0453
2008,1129.2161
2009,1139.2257
2010,1233.926
2011,1338.7213
2012,1352.2675
2013,1459.1902
2014,1518.4707
2015,1584.8263
2016,1672.6874
2017,1682.7009
2018,1712.355
2019,1752.5801
2020,1613.651
2021,1718.8503
2022,1789.3718
2023,1837.4609
2024,1865.9851
